reason,reference_label,parent_game_titles,parent_release_years,reference_page_title,category_names,reference_url
group_or_non_character_subject,NPC Woman and Female Sex Workers,Red Dead Redemption,2010,NPC Woman and Female Sex Workers in Red Dead Redemption,2010s; Characters; Lesbian; Lesbian (implicit); Queer Women,https://lgbtqgamearchive.com/2016/06/24/npc-woman-and-female-sex-workers-in-red-dead-redemption
group_or_non_character_subject,Bonus Dates,Coming Out on Top,2014,Bonus Dates in Coming Out on Top,2010s; Characters; Games by Decade; Gay; Gay (explicit); Gay (implicit); Optional Relationship; Queer Men; Relationships/Romance/Sex,https://lgbtqgamearchive.com/2020/03/09/bonus-dates-in-coming-out-on-top
group_or_non_character_subject,Non-Dateable Characters,Coming Out on Top,2014,Non-Dateable Characters in Coming Out on Top,2010s; Characters; Games by Decade; Gay; Gay (explicit); Gay (implicit); Homophobia; Homophobia/Transphobia; Queer Men,https://lgbtqgamearchive.com/2020/03/09/non-dateable-characters-in-coming-out-on-top
requires_queer_reading_unit,Simon Jarrett,SOMA,2015,Simon Jarrett in SOMA,2010s; Characters; Games by Decade; Non-binary or genderqueer; Non-binary or Genderqueer (implicit); Playable Character,https://lgbtqgamearchive.com/2018/01/12/simon-jarrett-in-soma
no_explicit_or_implicit_identity_category,Alex,Oxenfree,2016,Alex in Oxenfree,2010s; Characters; Games by Decade; Optional Relationship; Playable Character; Queer Women; Relationships/Romance/Sex,https://lgbtqgamearchive.com/2018/01/12/alex-in-oxenfree
no_explicit_or_implicit_identity_category,Drag Queen Doorman,Watch Dogs 2,2016,Drag Queen Doorman in Watch Dogs 2,2010s; Characters; Games by Decade; Gender non-conforming,https://lgbtqgamearchive.com/2019/07/05/drag-queen-doorman
group_or_non_character_subject,Hayes’ Dads,Hustle Cat,2016,Hayes’ Dads in Hustle Cat,2010s; Characters; Games by Decade; Gay; Gay (explicit); Queer Men,https://lgbtqgamearchive.com/2019/09/09/hayes-dads
no_explicit_or_implicit_identity_category,Moira O’Deorain,Overwatch,2016,Moira O’Deorain in Overwatch,2010s; Characters; Games by Decade; Gender non-conforming; Playable Character,https://lgbtqgamearchive.com/2019/03/07/moira-odeorain
no_explicit_or_implicit_identity_category,Floren,Xenoblade Chronicles 2,2017,Floren in Xenoblade Chronicles 2,2010s; Characters; Games by Decade; Gender non-conforming,https://lgbtqgamearchive.com/2021/01/21/floren-in-xenoblade-chronicles-2
no_explicit_or_implicit_identity_category,Gera,Horizon Zero Dawn,2017,Gera in Horizon Zero Dawn,2010s; Characters; Games by Decade; Gender non-conforming,https://lgbtqgamearchive.com/2021/07/09/gera-in-horizon-zero-dawn
no_explicit_or_implicit_identity_category,Vessels,Hollow Knight,2017,Vessels in Hollow Knight,2010s; Agender; Characters; Games by Decade; Playable Character,https://lgbtqgamearchive.com/?p=12310
group_or_non_character_subject,Budding M/M Romance,Cursed Elements,2019,Budding M/M Romance in Cursed Elements,2010s; Characters; Gay; Gay (explicit); Playable Character; Queer Men,https://lgbtqgamearchive.com/2020/08/05/budding-m-m-romance-in-cursed-elements
